date,sta,flight_no,origin,origin_code,airline_name,aircraft_type,tail_reg,icao_cat,cbp_flag,actual_landing,gate
31-Mar-26,17:15,EI3225,Glasgow (GLA),GLA,Aer Lingus Regional,AT76,EI-HPJ,B,FALSE,,
31-Mar-26,17:20,EA3331,Exeter (EXT),EXT,Aer Lingus Regional,AT76,EI-GZV,B,FALSE,,
31-Mar-26,17:25,FR665,Birmingham (BHX),BHX,Ryanair,B38M,9H-VVJ,C,FALSE,,
31-Mar-26,17:25,FR7241,Madrid (MAD),MAD,Ryanair,B738,EI-EBY,C,FALSE,,
31-Mar-26,17:30,FR339,London (LTN),LTN,Ryanair,B738,SP-RKM,C,FALSE,,
31-Mar-26,17:35,FR4267,Verona (VRN),VRN,Ryanair,B738,9H-QEK,C,FALSE,,
31-Mar-26,17:40,EI609,Amsterdam (AMS),AMS,Aer Lingus,A320,EI-DEP,C,FALSE,,
31-Mar-26,17:40,FR289,London (STN),STN,Ryanair,B38M,EI-HMW,C,FALSE,,
31-Mar-26,17:40,FR441,Liverpool (LPL),LPL,Ryanair,B38M,EI-IHN,C,FALSE,,
31-Mar-26,17:40,FR1975,Poznan (POZ),POZ,Ryanair,B738,EI-GJT,C,FALSE,,
31-Mar-26,17:45,EI405,Rome (FCO),FCO,Aer Lingus,A320,EI-DEL,C,FALSE,,
31-Mar-26,17:50,EI527,Paris (CDG),CDG,Aer Lingus,A320,EI-EDS,C,FALSE,,
31-Mar-26,17:50,LX404,Zurich (ZRH),ZRH,airBaltic,BCS3,YL-BTB,C,FALSE,,
31-Mar-26,17:54,5X207,Louisville (SDF),SDF,UPS,B763,N327UP,D,FALSE,,
31-Mar-26,17:55,EI545,Nice (NCE),NCE,Aer Lingus,A320,EI-GAL,C,FALSE,,
31-Mar-26,17:55,FR1993,La Rochelle (LRH),LRH,Ryanair,B738,EI-GXK,C,FALSE,,
31-Mar-26,17:55,TK6425,Istanbul (IST),IST,Turkish Airlines,33X,,C,FALSE,,
31-Mar-26,18:05,EI515,Marseille (MRS),MRS,Aer Lingus,A320,EI-DEM,C,FALSE,,
31-Mar-26,18:05,EI553,Lyon (LYS),LYS,Aer Lingus,A21N,EI-LRF,C,FALSE,,
31-Mar-26,18:05,TP1324,Lisbon (LIS),LIS,TAP Express,E190,CS-TPO,C,FALSE,,
31-Mar-26,18:10,EA3217,Isle of Man (IOM),IOM,Aer Lingus Regional,AT76,EI-HPK,B,FALSE,,
31-Mar-26,18:10,FR1987,Nantes (NTE),NTE,Ryanair,B38M,9H-VUZ,C,FALSE,,
31-Mar-26,18:20,EI169,London (LHR),LHR,Aer Lingus,A20N,EI-NSE,C,FALSE,,
31-Mar-26,18:20,FR4037,Milan (BGY),BGY,Ryanair,B38M,9H-VVR,C,FALSE,,
31-Mar-26,18:20,SK2537,Copenhagen (CPH),CPH,SAS,A20N,EI-SIG,C,FALSE,,
31-Mar-26,18:21,H5334,Poznan (POZ),POZ,VistaJet,C56X,D-CXLS,C,FALSE,,
31-Mar-26,18:25,AF1116,Paris (CDG),CDG,Air France,BCS3,F-HZUA,C,FALSE,,
31-Mar-26,18:30,FR9777,Nimes (FNI),FNI,Ryanair,B738,SP-RKV,C,FALSE,,
31-Mar-26,18:35,EI3327,Manchester (MAN),MAN,Aer Lingus Regional,AT76,EI-HNA,B,FALSE,,
31-Mar-26,18:35,EA3931,Newquay (NQY),NQY,Aer Lingus Regional,AT76,EI-HDK,B,FALSE,,
31-Mar-26,18:40,BA832,London (LHR),LHR,British Airways,A320,G-EUYA,C,FALSE,,
31-Mar-26,18:40,BA4472,London (LCY),LCY,British Airways,E190,G-LCAG,C,FALSE,,
31-Mar-26,18:45,EI3243,Aberdeen (ABZ),ABZ,Aer Lingus Regional,AT76,EI-GPO,B,FALSE,,
31-Mar-26,18:45,FR119,London (LGW),LGW,Ryanair,B38M,9H-VUQ,C,FALSE,,
31-Mar-26,18:45,FR509,Bristol (BRS),BRS,Ryanair,B38M,EI-HGG,C,FALSE,,
31-Mar-26,18:45,FR7063,Alicante (ALC),ALC,Ryanair,B738,SP-RKH,C,FALSE,,
31-Mar-26,18:50,FR205,London (STN),STN,Ryanair,B738,SP-RNS,C,FALSE,,
31-Mar-26,18:55,FR5307,Kerry (KIR),KIR,Ryanair,B738,SP-RKD,C,FALSE,,
31-Mar-26,19:00,FR809,Edinburgh (EDI),EDI,Ryanair,B38M,EI-IHY,C,FALSE,,
31-Mar-26,19:10,FR3101,Amsterdam (AMS),AMS,Ryanair,B38M,EI-HET,C,FALSE,,
31-Mar-26,19:10,FR5132,Basel (BSL),BSL,Ryanair,B738,9H-QAD,C,FALSE,,
31-Mar-26,19:15,EI749,Bilbao (BIO),BIO,Aer Lingus,A320,EI-DVH,C,FALSE,,
31-Mar-26,19:20,FR5419,Berlin (BER),BER,Ryanair,B738,EI-EBV,C,FALSE,,
31-Mar-26,19:30,BA4468,London (LCY),LCY,British Airways,E190,G-LCAE,C,FALSE,,
31-Mar-26,19:35,BA834,London (LHR),LHR,British Airways,A21N,G-NEOV,C,FALSE,,
31-Mar-26,19:35,EI173,London (LHR),LHR,Aer Lingus,A20N,EI-NSG,C,FALSE,,
31-Mar-26,19:35,FR9176,Ibiza (IBZ),IBZ,Ryanair,B738,SP-RSQ,C,FALSE,,
31-Mar-26,19:45,FR121,London (LGW),LGW,Ryanair,B738,EI-DPP,C,FALSE,,
31-Mar-26,19:50,FR1557,Manchester (MAN),MAN,Ryanair,B738,9H-QBZ,C,FALSE,,
31-Mar-26,19:53,N/A,Weeze (NRN),NRN,Ryanair,B738,9H-QAL,C,FALSE,,
31-Mar-26,20:05,FR449,Liverpool (LPL),LPL,Ryanair,B738,EI-DCL,C,FALSE,,
31-Mar-26,20:05,FR8131,Malaga (AGP),AGP,Ryanair,B38M,EI-IJD,C,FALSE,,
31-Mar-26,20:05,EK163,Dubai (DXB),DXB,Emirates,B77W,A6-EPH,C,FALSE,,
31-Mar-26,20:10,EI585,Malaga (AGP),AGP,Aer Lingus,A320,EI-DVG,C,FALSE,,
31-Mar-26,20:10,FR7133,Faro (FAO),FAO,Ryanair,B738,EI-EVR,C,FALSE,,
31-Mar-26,20:15,FR7355,Chania (CHQ),CHQ,Ryanair,B738,EI-EKI,C,FALSE,,
31-Mar-26,20:20,DN407,Bacau (BCM),BCM,Dan Air,A320,YR-JUL,C,FALSE,,
31-Mar-26,20:20,FR2031,Krakow (KRK),KRK,Ryanair,B38M,SP-RZO,C,FALSE,,
31-Mar-26,20:26,N/A,Glasgow (GLA),GLA,Aer Lingus Regional,AT76,EI-GZV,B,FALSE,,
31-Mar-26,20:30,FR1453,Brussels (BRU),BRU,Ryanair,B738,EI-DPN,C,FALSE,,
31-Mar-26,20:36,5X249,Shannon (SNN),SNN,UPS,B763,N391UP,D,FALSE,,
31-Mar-26,20:55,EI177,London (LHR),LHR,Aer Lingus,A20N,EI-NSA,C,FALSE,,
31-Mar-26,20:55,EI3229,Glasgow (GLA),GLA,Aer Lingus,AT7,,B,FALSE,,
31-Mar-26,20:55,FR7788,Marrakesh (RAK),RAK,Ryanair,B738,EI-EBL,C,FALSE,,
31-Mar-26,20:55,VY8722,Barcelona (BCN),BCN,Vueling,A320,EC-LOP,C,FALSE,,
31-Mar-26,21:00,EI413,Verona (VRN),VRN,Aer Lingus,A320,EI-DVE,C,FALSE,,
31-Mar-26,21:05,FR7157,Madrid (MAD),MAD,Ryanair,B738,EI-DWA,C,FALSE,,
31-Mar-26,21:10,FR21,Newcastle (NCL),NCL,Ryanair,B738,EI-GJT,C,FALSE,,
31-Mar-26,21:10,FR341,London (LTN),LTN,Ryanair,B38M,EI-ILG,C,FALSE,,
31-Mar-26,21:17,5O4394,Shannon (SNN),SNN,ASL Airlines,B738,F-HIQB,C,FALSE,,
31-Mar-26,21:20,FR123,London (LGW),LGW,Ryanair,B738,9H-QEK,C,FALSE,,
31-Mar-26,21:20,FR291,London (STN),STN,Ryanair,B738,EI-DLI,C,FALSE,,
31-Mar-26,21:20,FR6394,Barcelona (BCN),BCN,Ryanair,B738,9H-QCO,C,FALSE,,
31-Mar-26,21:25,FR9612,Rome (FCO),FCO,Ryanair,B738,SP-RNP,C,FALSE,,
31-Mar-26,21:30,EI277,Birmingham (BHX),BHX,Aer Lingus,A320,EI-GAL,C,FALSE,,
31-Mar-26,21:30,EA3409,Donegal (CFN),CFN,Aer Lingus Regional,AT76,EI-HPK,B,FALSE,,
